iso	chr	start	end	mapon
Gd_00045-a2ab	chr1001	12282	12703	all
Gd_00045-a2ab	chr1001	78506	78718	all
Gd_00045-a2ab	chr1001	91931	95436	all
Gd_00045-a2ab	chr1001	162824	175407	all
Gd_00045-a2ab	chr1001	176906	177535	all
Gd_00045-a2ab	chr1001	207716	210436	all
Gd_00045-a2ab	chr1001	210813	211613	all
Gd_00045-a2ab	chr1001	211640	219836	all
Gd_00045-a2ab	chr1001	219850	223830	all
Gd_00045-a2ab	chr1001	223866	224252	all
Gd_00045-a2ab	chr1001	510016	510305	all
Gd_00045-a2ab	chr1001	517038	522051	all
Gd_00045-a2ab	chr1001	522366	524749	all
Gd_00045-a2ab	chr1001	549984	554336	all
Gd_00045-a2ab	chr1001	556165	566585	all
Gd_00045-a2ab	chr1001	566601	568452	all
Gd_00045-a2ab	chr1001	568474	568938	all
Gd_00045-a2ab	chr1001	568964	576796	all
Gd_00045-a2ab	chr1001	579671	582187	all
Gd_00045-a2ab	chr1001	582544	583386	all
Gd_00045-a2ab	chr1001	595750	595895	all
Gd_00045-a2ab	chr1001	614744	617103	all
Gd_00045-a2ab	chr1001	619367	621179	all
Gd_00045-a2ab	chr1001	623270	624809	all
Gd_00045-a2ab	chr1001	694243	695204	all
Gd_00045-a2ab	chr1001	695396	697095	all
Gd_00045-a2ab	chr1001	697142	700092	all
Gd_00045-a2ab	chr1001	731088	734641	all
Gd_00045-a2ab	chr1001	734839	735558	all
Gd_00045-a2ab	chr1001	736500	737527	all
Gd_00045-a2ab	chr1001	737547	739659	all
Gd_00045-a2ab	chr1001	740002	742916	all
Gd_00045-a2ab	chr1001	743031	743428	all
Gd_00045-a2ab	chr1001	749347	761399	all
Gd_00045-a2ab	chr1001	761410	771849	all
Gd_00045-a2ab	chr1001	771870	776385	all
Gd_00045-a2ab	chr1001	776386	776854	all
Gd_00045-a2ab	chr1001	776871	777260	all
Gd_00045-a2ab	chr1001	778533	779307	all
Gd_00045-a2ab	chr1001	779558	780384	all
Gd_00045-a2ab	chr1001	781915	783101	all
Gd_00045-a2ab	chr1001	797168	797929	all
Gd_00045-a2ab	chr1001	798209	799119	all
Gd_00045-a2ab	chr1001	799755	801627	all
Gd_00045-a2ab	chr1001	810191	813724	all
Gd_00045-a2ab	chr1001	816030	816192	all
Gd_00045-a2ab	chr1001	821773	825852	all
Gd_00045-a2ab	chr1001	854108	861836	all
Gd_00045-a2ab	chr1001	880401	881043	all
Gd_00045-a2ab	chr1001	886611	892405	all
Gd_00045-a2ab	chr1001	892578	893614	all
Gd_00045-a2ab	chr1001	894898	898122	all
Gd_00045-a2ab	chr1001	913268	915556	all
Gd_00045-a2ab	chr1001	915599	917392	all
Gd_00045-a2ab	chr1001	917460	917796	all
Gd_00045-a2ab	chr1001	917807	922102	all
Gd_00045-a2ab	chr1001	924004	928735	all
Gd_00045-a2ab	chr1001	930938	931888	all
Gd_00045-a2ab	chr1001	931906	932697	all
Gd_00045-a2ab	chr1001	933091	933643	all
Gd_00045-a2ab	chr1001	933855	935520	all
Gd_00045-a2ab	chr1001	935538	936862	all
Gd_00045-a2ab	chr1001	939412	940114	all
Gd_00045-a2ab	chr1001	940128	940808	all
Gd_00045-a2ab	chr1001	951892	952377	all
Gd_00045-a2ab	chr1001	955522	956134	all
Gd_00045-a2ab	chr1001	962329	963395	all
Gd_00045-a2ab	chr1001	967838	969051	all
Gd_00045-a2ab	chr1001	969493	969955	all
Gd_00045-a2ab	chr1001	970067	970287	all
Gd_00045-a2ab	chr1001	1005823	1019246	all
Gd_00045-a2ab	chr1001	1019335	1039145	all
Gd_00045-a2ab	chr1001	1053226	1079310	all
Gd_00045-a2ab	chr1001	1079384	1086518	all
Gd_00045-a2ab	chr1001	1088857	1097441	all
Gd_00045-a2ab	chr1001	1140187	1147535	all
Gd_00045-a2ab	chr1001	1147713	1148415	all
Gd_00045-a2ab	chr1001	1158029	1158180	all
Gd_00045-a2ab	chr1001	1158241	1158420	all
Gd_00045-a2ab	chr1001	1158526	1158931	all
Gd_00045-a2ab	chr1001	1309434	1310253	all
Gd_00045-a2ab	chr1001	1312096	1336451	all
Gd_00045-a2ab	chr1001	1336452	1337246	all
Gd_00045-a2ab	chr1001	1337270	1346441	all
Gd_00045-a2ab	chr1001	1346456	1354769	all
Gd_00045-a2ab	chr1001	1427517	1432371	all
Gd_00045-a2ab	chr1001	1436926	1438546	all
Gd_00045-a2ab	chr1001	1439446	1441106	all
Gd_00045-a2ab	chr1001	1459489	1459902	all
Gd_00045-a2ab	chr1001	1460263	1483757	all
Gd_00045-a2ab	chr1001	1485615	1487215	all
Gd_00045-a2ab	chr1001	1507615	1508513	all
Gd_00045-a2ab	chr1001	1508821	1513154	all
Gd_00045-a2ab	chr1001	1513218	1520957	all
Gd_00045-a2ab	chr1001	1520969	1523409	all
Gd_00045-a2ab	chr1001	1523422	1523844	all
Gd_00045-a2ab	chr1001	1523895	1524148	all
Gd_00045-a2ab	chr1001	1524222	1527593	all
Gd_00045-a2ab	chr1001	1527632	1537970	all
Gd_00045-a2ab	chr1001	1538010	1538638	all
Gd_00045-a2ab	chr1001	1538657	1539835	all
Gd_00045-a2ab	chr1001	1541785	1545838	all
Gd_00045-a2ab	chr1001	1546780	1547414	all
Gd_00045-a2ab	chr1001	1547440	1551094	all
Gd_00045-a2ab	chr1001	1551127	1551418	all
Gd_00045-a2ab	chr1001	1568204	1569717	all
Gd_00045-a2ab	chr1001	1570513	1580347	all
Gd_00045-a2ab	chr1001	1615384	1616323	all
Gd_00045-a2ab	chr1001	1624027	1636126	all
Gd_00045-a2ab	chr1001	1636253	1653151	all
Gd_00045-a2ab	chr1001	1654240	1654556	all
Gd_00045-a2ab	chr1001	1654844	1655221	all
Gd_00045-a2ab	chr1001	1655635	1656235	all
Gd_00045-a2ab	chr1001	1656274	1656629	all
Gd_00045-a2ab	chr1001	1656774	1658832	all
Gd_00045-a2ab	chr1001	1658847	1659289	all
Gd_00045-a2ab	chr1001	1660231	1661127	all
Gd_00045-a2ab	chr1001	1842468	1846201	all
Gd_00045-a2ab	chr1001	1848508	1858526	all
