iso	chr	start	end	mapon
Gd_00045-a2ab	chr1001	976	11309	all
Gd_00045-a2ab	chr1001	12173	17438	all
Gd_00045-a2ab	chr1001	17520	19291	all
Gd_00045-a2ab	chr1001	24893	28623	all
Gd_00045-a2ab	chr1001	49570	51868	all
Gd_00045-a2ab	chr1001	54046	56804	all
Gd_00045-a2ab	chr1001	59597	61552	all
Gd_00045-a2ab	chr1001	75150	77765	all
Gd_00045-a2ab	chr1001	86460	99203	all
Gd_00045-a2ab	chr1001	107648	114007	all
Gd_00045-a2ab	chr1001	114223	128041	all
Gd_00045-a2ab	chr1001	171003	176636	all
Gd_00045-a2ab	chr1001	185852	188288	all
Gd_00045-a2ab	chr1001	190985	198702	all
Gd_00045-a2ab	chr1001	204260	208160	all
Gd_00045-a2ab	chr1001	212801	214120	all
Gd_00045-a2ab	chr1001	219556	222121	all
Gd_00045-a2ab	chr1001	224230	225962	all
Gd_00045-a2ab	chr1001	369722	370658	all
Gd_00045-a2ab	chr1001	376050	378889	all
Gd_00045-a2ab	chr1001	411178	413042	all
Gd_00045-a2ab	chr1001	496493	503112	all
Gd_00045-a2ab	chr1001	593589	594631	all
Gd_00045-a2ab	chr1001	594662	595912	all
Gd_00045-a2ab	chr1001	595914	624922	all
Gd_00045-a2ab	chr1001	626782	659261	all
Gd_00045-a2ab	chr1001	661351	663534	all
Gd_00045-a2ab	chr1001	665115	668485	all
Gd_00045-a2ab	chr1001	668486	671682	all
Gd_00045-a2ab	chr1001	681412	686749	all
Gd_00045-a2ab	chr1001	688966	690312	all
Gd_00045-a2ab	chr1001	695397	705044	all
Gd_00045-a2ab	chr1001	743416	749315	all
Gd_00045-a2ab	chr1001	795279	797184	all
Gd_00045-a2ab	chr1001	810751	813722	all
Gd_00045-a2ab	chr1001	835174	836174	all
Gd_00045-a2ab	chr1001	838029	839344	all
Gd_00045-a2ab	chr1001	840284	843859	all
Gd_00045-a2ab	chr1001	861836	866441	all
Gd_00045-a2ab	chr1001	868114	869873	all
Gd_00045-a2ab	chr1001	872830	939395	all
Gd_00045-a2ab	chr1001	944049	945496	all
Gd_00045-a2ab	chr1001	964680	969327	all
Gd_00045-a2ab	chr1001	979889	984932	all
Gd_00045-a2ab	chr1001	1003447	1004373	all
Gd_00045-a2ab	chr1001	1005825	1019246	all
Gd_00045-a2ab	chr1001	1019336	1039146	all
