iso	chr	start	end	mapon
Gd_00293-aad	chr1001	85036	105426	all
Gd_00293-aad	chr1001	110037	127916	all
Gd_00293-aad	chr1001	209394	222643	all
Gd_00293-aad	chr1001	229797	247540	all
Gd_00293-aad	chr1001	451709	466389	all
Gd_00293-aad	chr1001	472842	487313	all
Gd_00293-aad	chr1001	487672	497049	all
Gd_00293-aad	chr1001	510864	511141	all
Gd_00293-aad	chr1001	512936	513820	all
Gd_00293-aad	chr1001	515312	516500	all
Gd_00293-aad	chr1001	516524	522673	all
Gd_00293-aad	chr1001	523598	576315	all
Gd_00293-aad	chr1001	588294	599317	all
Gd_00293-aad	chr1001	599321	609501	all
Gd_00293-aad	chr1001	609588	610227	all
Gd_00293-aad	chr1001	687505	841558	all
Gd_00293-aad	chr1001	1074831	1096596	all
Gd_00293-aad	chr1001	1100173	1118298	all
Gd_00293-aad	chr1001	1570409	1587459	all
Gd_00293-aad	chr1001	1600904	1609074	all
Gd_00293-aad	chr1001	1707223	1707835	all
Gd_00293-aad	chr1001	1707844	1708242	all
Gd_00293-aad	chr1001	1709526	1712733	all
Gd_00293-aad	chr1001	1748049	1787862	all
Gd_00293-aad	chr1001	1819253	2037100	all
Gd_00293-aad	chr1001	2037102	2041355	all
Gd_00293-aad	chr1001	2041357	2042451	all
Gd_00293-aad	chr1001	2128430	2176580	all
Gd_00293-aad	chr1001	2185033	2190261	all
Gd_00293-aad	chr1001	2190618	2232615	all
Gd_00293-aad	chr1001	2238854	2248584	all
Gd_00293-aad	chr1001	2250917	2296452	all
Gd_00293-aad	chr1001	2303176	2319474	all
Gd_00293-aad	chr1001	2319630	2323535	all
Gd_00293-aad	chr1001	2349467	2371212	all
Gd_00293-aad	chr1001	2371214	2376229	all
Gd_00293-aad	chr1001	2376231	2376789	all
Gd_00293-aad	chr1001	2376940	2381364	all
Gd_00293-aad	chr1001	2381366	2384943	all
Gd_00293-aad	chr1001	2384946	2386363	all
Gd_00293-aad	chr1001	2386365	2497201	all
Gd_00293-aad	chr1001	2548924	2582227	all
Gd_00293-aad	chr1001	2582239	2583591	all
Gd_00293-aad	chr1001	2727114	2727947	all
Gd_00293-aad	chr1001	2727950	2730313	all
Gd_00293-aad	chr1001	2730317	2731058	all
Gd_00293-aad	chr1001	2736957	2758655	all
Gd_00293-aad	chr1001	2758663	2784650	all
Gd_00293-aad	chr1001	2784659	2791658	all
Gd_00293-aad	chr1001	2791697	2801126	all
Gd_00293-aad	chr1001	2804258	2808168	all
Gd_00293-aad	chr1001	2810951	2819711	all
Gd_00293-aad	chr1001	2826914	2921832	all
Gd_00293-aad	chr1001	2950499	2970370	all
Gd_00293-aad	chr1001	2976119	2976613	all
Gd_00293-aad	chr1001	3211227	3224365	all
Gd_00293-aad	chr1001	3224374	3360199	all
Gd_00293-aad	chr1001	3360224	3369806	all
Gd_00293-aad	chr1001	3369809	3382643	all
Gd_00293-aad	chr1001	3382645	3383031	all
Gd_00293-aad	chr1001	3383033	3408797	all
Gd_00293-aad	chr1001	3604325	3627897	all
Gd_00293-aad	chr1001	3627899	3640110	all
Gd_00293-aad	chr1001	3640120	3765757	all
Gd_00293-aad	chr1001	3798450	3836698	all
Gd_00293-aad	chr1001	3836700	3839134	all
Gd_00293-aad	chr1001	3839151	3867057	all
Gd_00293-aad	chr1001	3875781	3954592	all
Gd_00293-aad	chr1001	3954594	3966960	all
Gd_00293-aad	chr1001	3966966	4161526	all
Gd_00293-aad	chr1001	4161534	4255505	all
Gd_00293-aad	chr1001	4255507	4264225	all
Gd_00293-aad	chr1001	4264228	4270068	all
Gd_00293-aad	chr1001	4278904	4328859	all
Gd_00293-aad	chr1001	4335869	4337009	all
Gd_00293-aad	chr1001	4337027	4340835	all
Gd_00293-aad	chr1001	85036	105426	inter
Gd_00293-aad	chr1001	110037	127916	inter
Gd_00293-aad	chr1001	209394	222643	inter
Gd_00293-aad	chr1001	229797	247540	inter
Gd_00293-aad	chr1001	451709	466389	inter
Gd_00293-aad	chr1001	472842	487313	inter
Gd_00293-aad	chr1001	487672	497049	inter
Gd_00293-aad	chr1001	510864	511141	inter
Gd_00293-aad	chr1001	512936	513820	inter
Gd_00293-aad	chr1001	515312	516500	inter
Gd_00293-aad	chr1001	516524	522673	inter
Gd_00293-aad	chr1001	523598	576315	inter
Gd_00293-aad	chr1001	588294	599317	inter
Gd_00293-aad	chr1001	599321	609501	inter
Gd_00293-aad	chr1001	609588	610227	inter
Gd_00293-aad	chr1001	704739	719171	inter
Gd_00293-aad	chr1001	720541	727519	inter
Gd_00293-aad	chr1001	727526	742989	inter
Gd_00293-aad	chr1001	742992	747787	inter
Gd_00293-aad	chr1001	747793	749312	inter
Gd_00293-aad	chr1001	749315	759057	inter
Gd_00293-aad	chr1001	760840	768227	inter
Gd_00293-aad	chr1001	771727	771841	inter
Gd_00293-aad	chr1001	771843	777518	inter
Gd_00293-aad	chr1001	812098	840051	inter
Gd_00293-aad	chr1001	1074831	1096596	inter
Gd_00293-aad	chr1001	1100173	1114888	inter
Gd_00293-aad	chr1001	1114890	1118298	inter
Gd_00293-aad	chr1001	1572059	1572478	inter
Gd_00293-aad	chr1001	1574491	1575448	inter
Gd_00293-aad	chr1001	1575450	1586949	inter
Gd_00293-aad	chr1001	1587228	1587459	inter
Gd_00293-aad	chr1001	1600904	1609074	inter
Gd_00293-aad	chr1001	1707223	1707835	inter
Gd_00293-aad	chr1001	1707844	1708242	inter
Gd_00293-aad	chr1001	1709526	1712733	inter
Gd_00293-aad	chr1001	1845941	1846829	inter
Gd_00293-aad	chr1001	1847676	1848006	inter
Gd_00293-aad	chr1001	1848918	1851076	inter
Gd_00293-aad	chr1001	1986886	1996503	inter
Gd_00293-aad	chr1001	2128430	2176580	inter
Gd_00293-aad	chr1001	2185033	2190261	inter
Gd_00293-aad	chr1001	2190618	2232615	inter
Gd_00293-aad	chr1001	2238854	2248584	inter
Gd_00293-aad	chr1001	2250917	2296452	inter
Gd_00293-aad	chr1001	2303176	2319474	inter
Gd_00293-aad	chr1001	2319630	2323535	inter
Gd_00293-aad	chr1001	2548924	2582227	inter
Gd_00293-aad	chr1001	2582239	2583591	inter
Gd_00293-aad	chr1001	2736957	2758655	inter
Gd_00293-aad	chr1001	2758663	2784650	inter
Gd_00293-aad	chr1001	2810951	2819711	inter
Gd_00293-aad	chr1001	2826914	2858281	inter
Gd_00293-aad	chr1001	2871483	2878814	inter
Gd_00293-aad	chr1001	2881157	2882396	inter
Gd_00293-aad	chr1001	2882975	2898839	inter
Gd_00293-aad	chr1001	2901520	2913711	inter
Gd_00293-aad	chr1001	2914313	2914528	inter
Gd_00293-aad	chr1001	2914917	2915255	inter
Gd_00293-aad	chr1001	2915704	2916305	inter
Gd_00293-aad	chr1001	2916344	2920660	inter
Gd_00293-aad	chr1001	2950499	2970370	inter
Gd_00293-aad	chr1001	3211227	3223732	inter
Gd_00293-aad	chr1001	3227936	3283994	inter
Gd_00293-aad	chr1001	3755797	3763511	inter
Gd_00293-aad	chr1001	3806151	3821309	inter
Gd_00293-aad	chr1001	3839151	3839411	inter
Gd_00293-aad	chr1001	4116570	4132868	inter
Gd_00293-aad	chr1001	4168536	4187956	inter
Gd_00293-aad	chr1001	4251471	4255505	inter
Gd_00293-aad	chr1001	4255507	4256698	inter
Gd_00293-aad	chr1001	4338310	4340835	inter
Gd_00293-aad	chr1001	687505	708657	intra
Gd_00293-aad	chr1001	716190	841558	intra
Gd_00293-aad	chr1001	1076554	1096596	intra
Gd_00293-aad	chr1001	1100173	1118269	intra
Gd_00293-aad	chr1001	1570409	1587459	intra
Gd_00293-aad	chr1001	1600904	1609074	intra
Gd_00293-aad	chr1001	1748049	1787862	intra
Gd_00293-aad	chr1001	1819253	2037100	intra
Gd_00293-aad	chr1001	2037102	2041355	intra
Gd_00293-aad	chr1001	2041357	2042451	intra
Gd_00293-aad	chr1001	2349467	2371212	intra
Gd_00293-aad	chr1001	2371214	2376229	intra
Gd_00293-aad	chr1001	2376231	2376789	intra
Gd_00293-aad	chr1001	2376940	2381364	intra
Gd_00293-aad	chr1001	2381366	2384943	intra
Gd_00293-aad	chr1001	2384946	2386363	intra
Gd_00293-aad	chr1001	2386365	2497201	intra
Gd_00293-aad	chr1001	2727114	2727947	intra
Gd_00293-aad	chr1001	2727950	2730313	intra
Gd_00293-aad	chr1001	2730317	2731058	intra
Gd_00293-aad	chr1001	2784659	2791658	intra
Gd_00293-aad	chr1001	2791697	2801126	intra
Gd_00293-aad	chr1001	2804258	2808168	intra
Gd_00293-aad	chr1001	2826914	2921832	intra
Gd_00293-aad	chr1001	2963218	2963712	intra
Gd_00293-aad	chr1001	2968335	2968845	intra
Gd_00293-aad	chr1001	2976119	2976613	intra
Gd_00293-aad	chr1001	3222512	3224365	intra
Gd_00293-aad	chr1001	3224374	3360199	intra
Gd_00293-aad	chr1001	3360224	3369806	intra
Gd_00293-aad	chr1001	3369809	3382643	intra
Gd_00293-aad	chr1001	3382645	3383031	intra
Gd_00293-aad	chr1001	3383033	3408797	intra
Gd_00293-aad	chr1001	3604325	3627897	intra
Gd_00293-aad	chr1001	3627899	3640110	intra
Gd_00293-aad	chr1001	3640120	3765757	intra
Gd_00293-aad	chr1001	3798450	3836698	intra
Gd_00293-aad	chr1001	3836700	3839134	intra
Gd_00293-aad	chr1001	3839151	3867057	intra
Gd_00293-aad	chr1001	3875781	3954592	intra
Gd_00293-aad	chr1001	3954594	3966960	intra
Gd_00293-aad	chr1001	3966966	4161526	intra
Gd_00293-aad	chr1001	4161534	4255505	intra
Gd_00293-aad	chr1001	4255507	4264225	intra
Gd_00293-aad	chr1001	4264228	4270068	intra
Gd_00293-aad	chr1001	4278904	4328859	intra
Gd_00293-aad	chr1001	4335869	4337009	intra
Gd_00293-aad	chr1001	4337027	4340835	intra
Gd_00293-aad	chr1002	85290	92275	all
Gd_00293-aad	chr1002	92278	94924	all
Gd_00293-aad	chr1002	103215	103915	all
Gd_00293-aad	chr1002	174001	177925	all
Gd_00293-aad	chr1002	177927	179139	all
Gd_00293-aad	chr1002	681625	735925	all
Gd_00293-aad	chr1002	742656	826924	all
Gd_00293-aad	chr1002	826927	906838	all
Gd_00293-aad	chr1002	906840	924901	all
Gd_00293-aad	chr1002	931632	955248	all
Gd_00293-aad	chr1002	955249	957178	all
Gd_00293-aad	chr1002	959480	970233	all
Gd_00293-aad	chr1002	970242	1042005	all
Gd_00293-aad	chr1002	1058551	1065438	all
Gd_00293-aad	chr1002	1071999	1075246	all
Gd_00293-aad	chr1002	1163080	1346772	all
Gd_00293-aad	chr1002	1353770	1432282	all
Gd_00293-aad	chr1002	1432288	1649732	all
Gd_00293-aad	chr1002	1670216	2030022	all
Gd_00293-aad	chr1002	2030032	2063497	all
Gd_00293-aad	chr1002	2063499	2068696	all
Gd_00293-aad	chr1002	2074731	2083624	all
Gd_00293-aad	chr1002	2084109	2391072	all
Gd_00293-aad	chr1002	2391359	2397335	all
Gd_00293-aad	chr1002	2397340	2399742	all
Gd_00293-aad	chr1002	2400006	2426684	all
Gd_00293-aad	chr1002	2426703	2427544	all
Gd_00293-aad	chr1002	2427548	2427920	all
Gd_00293-aad	chr1002	2427941	2444602	all
Gd_00293-aad	chr1002	2447910	2463619	all
Gd_00293-aad	chr1002	2467027	2474001	all
Gd_00293-aad	chr1002	2477343	2498679	all
Gd_00293-aad	chr1002	2510019	2531726	all
Gd_00293-aad	chr1002	2578963	2587273	all
Gd_00293-aad	chr1002	2590566	2597490	all
Gd_00293-aad	chr1002	2597507	2600341	all
Gd_00293-aad	chr1002	2600359	2601255	all
Gd_00293-aad	chr1002	2650273	2659354	all
Gd_00293-aad	chr1002	2659493	2672128	all
Gd_00293-aad	chr1002	2672133	2695662	all
Gd_00293-aad	chr1002	2695664	2753637	all
Gd_00293-aad	chr1002	2771418	2825306	all
Gd_00293-aad	chr1002	2825917	2866637	all
Gd_00293-aad	chr1002	2866708	2871929	all
Gd_00293-aad	chr1002	2871945	2879375	all
Gd_00293-aad	chr1002	2879694	2879956	all
Gd_00293-aad	chr1002	2879998	2881699	all
Gd_00293-aad	chr1002	2881979	2920415	all
Gd_00293-aad	chr1002	3055896	3063268	all
Gd_00293-aad	chr1002	3193081	3224515	all
Gd_00293-aad	chr1002	3277181	3283262	all
Gd_00293-aad	chr1002	3298885	3304456	all
Gd_00293-aad	chr1002	3304458	3308195	all
Gd_00293-aad	chr1002	3308198	3315221	all
Gd_00293-aad	chr1002	3315232	3338351	all
Gd_00293-aad	chr1002	3346040	3346600	all
Gd_00293-aad	chr1002	3347972	3350915	all
Gd_00293-aad	chr1002	3350933	3356015	all
Gd_00293-aad	chr1002	3356020	3361424	all
Gd_00293-aad	chr1002	3390746	3410061	all
Gd_00293-aad	chr1002	3410179	3435323	all
Gd_00293-aad	chr1002	3435490	3452039	all
Gd_00293-aad	chr1002	3477219	3479900	all
Gd_00293-aad	chr1002	3483025	3486526	all
Gd_00293-aad	chr1002	3486529	3501811	all
Gd_00293-aad	chr1002	3504380	3516862	all
Gd_00293-aad	chr1002	3522079	3532513	all
Gd_00293-aad	chr1002	3544407	3547932	all
Gd_00293-aad	chr1002	3561936	3597777	all
Gd_00293-aad	chr1002	3741055	3741311	all
Gd_00293-aad	chr1002	85290	92275	inter
Gd_00293-aad	chr1002	92278	94924	inter
Gd_00293-aad	chr1002	103215	103915	inter
Gd_00293-aad	chr1002	174001	177925	inter
Gd_00293-aad	chr1002	177927	179139	inter
Gd_00293-aad	chr1002	835728	862171	inter
Gd_00293-aad	chr1002	934392	938971	inter
Gd_00293-aad	chr1002	959963	960190	inter
Gd_00293-aad	chr1002	960550	963046	inter
Gd_00293-aad	chr1002	1058551	1065438	inter
Gd_00293-aad	chr1002	1071999	1075246	inter
Gd_00293-aad	chr1002	1163080	1167774	inter
Gd_00293-aad	chr1002	1167776	1169087	inter
Gd_00293-aad	chr1002	1169089	1219155	inter
Gd_00293-aad	chr1002	1219160	1231696	inter
Gd_00293-aad	chr1002	1239118	1249749	inter
Gd_00293-aad	chr1002	1272581	1289098	inter
