iso	chr	start	end	mapon
Gd_00045-a2ab	chr1001	79588	81007	all
Gd_00045-a2ab	chr1001	81042	99203	all
Gd_00045-a2ab	chr1001	107648	128041	all
Gd_00045-a2ab	chr1001	162841	176870	all
Gd_00045-a2ab	chr1001	202217	203050	all
Gd_00045-a2ab	chr1001	204260	208160	all
Gd_00045-a2ab	chr1001	239011	240208	all
Gd_00045-a2ab	chr1001	409991	410465	all
Gd_00045-a2ab	chr1001	598805	599348	all
Gd_00045-a2ab	chr1001	606219	613810	all
Gd_00045-a2ab	chr1001	646066	646529	all
Gd_00045-a2ab	chr1001	700101	707008	all
Gd_00045-a2ab	chr1001	731089	789342	all
Gd_00045-a2ab	chr1001	791111	866439	all
Gd_00045-a2ab	chr1001	876514	974179	all
Gd_00045-a2ab	chr1001	1005825	1039146	all
Gd_00045-a2ab	chr1001	1042248	1071609	all
Gd_00045-a2ab	chr1001	1191314	1198485	all
Gd_00045-a2ab	chr1001	1200953	1201381	all
Gd_00045-a2ab	chr1001	1222722	1229704	all
Gd_00045-a2ab	chr1001	1253557	1254254	all
Gd_00045-a2ab	chr1001	1306110	1307046	all
Gd_00045-a2ab	chr1001	1314525	1316753	all
Gd_00045-a2ab	chr1001	1317107	1331773	all
Gd_00045-a2ab	chr1001	1332090	1332462	all
Gd_00045-a2ab	chr1001	1338068	1347737	all
Gd_00045-a2ab	chr1001	1349319	1354683	all
Gd_00045-a2ab	chr1001	1624804	1631777	all
Gd_00045-a2ab	chr1001	1634091	1634691	all
Gd_00045-a2ab	chr1001	1810423	1846142	all
Gd_00045-a2ab	chr1001	2105279	2142233	all
Gd_00045-a2ab	chr1001	2147479	2149325	all
Gd_00045-a2ab	chr1001	2207757	2208153	all
Gd_00045-a2ab	chr1001	2337684	2349653	all
Gd_00045-a2ab	chr1001	2496098	2498857	all
Gd_00045-a2ab	chr1001	2509132	2509343	all
Gd_00045-a2ab	chr1001	2510466	2524919	all
Gd_00045-a2ab	chr1001	2525023	2566659	all
Gd_00045-a2ab	chr1001	2570738	2573232	all
Gd_00045-a2ab	chr1001	2795182	2802851	all
Gd_00045-a2ab	chr1001	2804920	2809209	all
Gd_00045-a2ab	chr1001	2810746	2826561	all
Gd_00045-a2ab	chr1001	2826786	2831757	all
Gd_00045-a2ab	chr1001	2866864	2869897	all
Gd_00045-a2ab	chr1001	2877524	2895805	all
Gd_00045-a2ab	chr1001	2896268	2906276	all
Gd_00045-a2ab	chr1001	3034250	3065271	all
Gd_00045-a2ab	chr1001	3138462	3139398	all
Gd_00045-a2ab	chr1001	3174463	3184349	all
Gd_00045-a2ab	chr1001	3185108	3188093	all
Gd_00045-a2ab	chr1001	3203362	3207447	all
Gd_00045-a2ab	chr1001	3212516	3247170	all
Gd_00045-a2ab	chr1001	3252962	3253897	all
Gd_00045-a2ab	chr1001	3271025	3294494	all
Gd_00045-a2ab	chr1001	3375402	3379671	all
Gd_00045-a2ab	chr1001	3379839	3385602	all
Gd_00045-a2ab	chr1001	3577322	3579473	all
Gd_00045-a2ab	chr1001	3580265	3586223	all
Gd_00045-a2ab	chr1001	3586309	3586973	all
Gd_00045-a2ab	chr1001	3595859	3596403	all
Gd_00045-a2ab	chr1001	3668265	3700303	all
Gd_00045-a2ab	chr1001	3704581	3722955	all
Gd_00045-a2ab	chr1001	3798114	3805331	all
Gd_00045-a2ab	chr1001	3806904	3828856	all
Gd_00045-a2ab	chr1001	4027846	4106355	all
Gd_00045-a2ab	chr1001	4150086	4152250	all
Gd_00045-a2ab	chr1001	4153056	4158223	all
Gd_00045-a2ab	chr1001	4158556	4159152	all
Gd_00045-a2ab	chr1001	4172108	4172834	all
Gd_00045-a2ab	chr1001	4189537	4200446	all
Gd_00045-a2ab	chr1001	4200460	4204788	all
Gd_00045-a2ab	chr1001	4205087	4210980	all
Gd_00045-a2ab	chr1001	4221182	4224947	all
Gd_00045-a2ab	chr1001	4230042	4237751	all
Gd_00045-a2ab	chr1001	4237845	4244482	all
Gd_00045-a2ab	chr1001	4245272	4260840	all
Gd_00045-a2ab	chr1001	4260876	4266620	all
Gd_00045-a2ab	chr1001	4268403	4280818	all
Gd_00045-a2ab	chr1001	4300440	4302444	all
Gd_00045-a2ab	chr1001	4337222	4364865	all
Gd_00045-a2ab	chr1001	4457279	4530514	all
Gd_00045-a2ab	chr1001	4530532	4547259	all
Gd_00045-a2ab	chr1001	4547268	4578321	all
Gd_00045-a2ab	chr1001	4590164	4596751	all
Gd_00045-a2ab	chr1001	4649193	4656206	all
Gd_00045-a2ab	chr1001	4673574	4674755	all
Gd_00045-a2ab	chr1001	4675803	4681756	all
Gd_00045-a2ab	chr1001	4684130	4707230	all
Gd_00045-a2ab	chr1001	4707749	4719787	all
Gd_00045-a2ab	chr1001	4719852	4725619	all
Gd_00045-a2ab	chr1001	4743273	4751398	all
Gd_00045-a2ab	chr1001	79588	81007	inter
Gd_00045-a2ab	chr1001	81042	99203	inter
Gd_00045-a2ab	chr1001	107648	128041	inter
Gd_00045-a2ab	chr1001	162841	176870	inter
Gd_00045-a2ab	chr1001	204260	208160	inter
Gd_00045-a2ab	chr1001	409991	410465	inter
Gd_00045-a2ab	chr1001	606219	613810	inter
Gd_00045-a2ab	chr1001	646066	646529	inter
Gd_00045-a2ab	chr1001	700101	707008	inter
Gd_00045-a2ab	chr1001	922148	924012	inter
Gd_00045-a2ab	chr1001	964696	971582	inter
Gd_00045-a2ab	chr1001	1005825	1039146	inter
Gd_00045-a2ab	chr1001	1042248	1071609	inter
Gd_00045-a2ab	chr1001	1191314	1198485	inter
Gd_00045-a2ab	chr1001	1200953	1201381	inter
Gd_00045-a2ab	chr1001	1222722	1229704	inter
Gd_00045-a2ab	chr1001	1253557	1253876	inter
Gd_00045-a2ab	chr1001	1306110	1307046	inter
Gd_00045-a2ab	chr1001	1314525	1316753	inter
Gd_00045-a2ab	chr1001	1317107	1331773	inter
Gd_00045-a2ab	chr1001	1332090	1332462	inter
Gd_00045-a2ab	chr1001	1349319	1354683	inter
Gd_00045-a2ab	chr1001	1624804	1631777	inter
Gd_00045-a2ab	chr1001	1634091	1634691	inter
Gd_00045-a2ab	chr1001	1823704	1833787	inter
Gd_00045-a2ab	chr1001	1834142	1838825	inter
Gd_00045-a2ab	chr1001	1838910	1846142	inter
Gd_00045-a2ab	chr1001	2105279	2142233	inter
Gd_00045-a2ab	chr1001	2147479	2149325	inter
Gd_00045-a2ab	chr1001	2207757	2208153	inter
Gd_00045-a2ab	chr1001	2337684	2349653	inter
Gd_00045-a2ab	chr1001	2496098	2498857	inter
Gd_00045-a2ab	chr1001	2509132	2509343	inter
Gd_00045-a2ab	chr1001	2510466	2524919	inter
Gd_00045-a2ab	chr1001	2525023	2566659	inter
Gd_00045-a2ab	chr1001	2570738	2573232	inter
Gd_00045-a2ab	chr1001	2795182	2802851	inter
