iso	chr	start	end
Gd_00045-a2ab	chr1001	12282	12703
Gd_00045-a2ab	chr1001	78506	78718
Gd_00045-a2ab	chr1001	91931	95436
Gd_00045-a2ab	chr1001	162824	175407
Gd_00045-a2ab	chr1001	176906	177535
Gd_00045-a2ab	chr1001	207716	210436
Gd_00045-a2ab	chr1001	210813	211613
Gd_00045-a2ab	chr1001	211640	219836
Gd_00045-a2ab	chr1001	219850	223830
Gd_00045-a2ab	chr1001	223866	224252
Gd_00045-a2ab	chr1001	510016	510305
Gd_00045-a2ab	chr1001	517038	522051
Gd_00045-a2ab	chr1001	522366	524749
Gd_00045-a2ab	chr1001	549984	554336
Gd_00045-a2ab	chr1001	556165	566585
Gd_00045-a2ab	chr1001	566601	568452
Gd_00045-a2ab	chr1001	568474	568938
Gd_00045-a2ab	chr1001	568964	576796
Gd_00045-a2ab	chr1001	579671	582187
Gd_00045-a2ab	chr1001	582544	583386
Gd_00045-a2ab	chr1001	595750	595895
Gd_00045-a2ab	chr1001	614744	617103
Gd_00045-a2ab	chr1001	619367	621179
Gd_00045-a2ab	chr1001	623270	624809
Gd_00045-a2ab	chr1001	694243	695204
Gd_00045-a2ab	chr1001	695396	697095
Gd_00045-a2ab	chr1001	697142	700092
Gd_00045-a2ab	chr1001	731088	734641
Gd_00045-a2ab	chr1001	734839	735558
Gd_00045-a2ab	chr1001	736500	737527
Gd_00045-a2ab	chr1001	737547	739659
Gd_00045-a2ab	chr1001	740002	742916
Gd_00045-a2ab	chr1001	743031	743428
Gd_00045-a2ab	chr1001	749347	761399
Gd_00045-a2ab	chr1001	761410	771849
Gd_00045-a2ab	chr1001	771870	776854
Gd_00045-a2ab	chr1001	776871	777260
Gd_00045-a2ab	chr1001	778533	779307
Gd_00045-a2ab	chr1001	779558	780384
Gd_00045-a2ab	chr1001	781915	783101
Gd_00045-a2ab	chr1001	797168	797929
Gd_00045-a2ab	chr1001	798209	799119
Gd_00045-a2ab	chr1001	799755	801627
Gd_00045-a2ab	chr1001	810191	813724
Gd_00045-a2ab	chr1001	816030	816192
Gd_00045-a2ab	chr1001	821773	825852
Gd_00045-a2ab	chr1001	854108	861836
Gd_00045-a2ab	chr1001	880401	881043
Gd_00045-a2ab	chr1001	886611	892405
Gd_00045-a2ab	chr1001	892578	893614
Gd_00045-a2ab	chr1001	894898	898122
Gd_00045-a2ab	chr1001	913268	915556
Gd_00045-a2ab	chr1001	915599	917392
Gd_00045-a2ab	chr1001	917460	917796
Gd_00045-a2ab	chr1001	917807	922102
Gd_00045-a2ab	chr1001	924004	928735
Gd_00045-a2ab	chr1001	930938	931888
Gd_00045-a2ab	chr1001	931906	932697
Gd_00045-a2ab	chr1001	933091	933643
Gd_00045-a2ab	chr1001	933855	935520
Gd_00045-a2ab	chr1001	935538	936862
Gd_00045-a2ab	chr1001	939412	940114
Gd_00045-a2ab	chr1001	940128	940808
Gd_00045-a2ab	chr1001	951892	952377
Gd_00045-a2ab	chr1001	955522	956134
Gd_00045-a2ab	chr1001	962329	963395
Gd_00045-a2ab	chr1001	967838	969051
Gd_00045-a2ab	chr1001	969493	969955
Gd_00045-a2ab	chr1001	970067	970287
Gd_00045-a2ab	chr1001	1005823	1019246
Gd_00045-a2ab	chr1001	1019335	1039145
Gd_00045-a2ab	chr1001	1053226	1079310
Gd_00045-a2ab	chr1001	1079384	1086518
Gd_00045-a2ab	chr1001	1088857	1097441
Gd_00045-a2ab	chr1001	1140187	1147535
Gd_00045-a2ab	chr1001	1147713	1148415
Gd_00045-a2ab	chr1001	1158029	1158180
Gd_00045-a2ab	chr1001	1158241	1158420
Gd_00045-a2ab	chr1001	1158526	1158931
Gd_00045-a2ab	chr1001	1309434	1310253
Gd_00045-a2ab	chr1001	1312096	1337246
Gd_00045-a2ab	chr1001	1337270	1346441
Gd_00045-a2ab	chr1001	1346456	1354769
Gd_00045-a2ab	chr1001	1427517	1432371
Gd_00045-a2ab	chr1001	1436926	1438546
Gd_00045-a2ab	chr1001	1439446	1441106
Gd_00045-a2ab	chr1001	1459489	1459902
Gd_00045-a2ab	chr1001	1460263	1483757
Gd_00045-a2ab	chr1001	1485615	1487215
Gd_00045-a2ab	chr1001	1507615	1508513
Gd_00045-a2ab	chr1001	1508821	1513154
Gd_00045-a2ab	chr1001	1513218	1520957
Gd_00045-a2ab	chr1001	1520969	1523409
Gd_00045-a2ab	chr1001	1523422	1523844
Gd_00045-a2ab	chr1001	1523895	1524148
Gd_00045-a2ab	chr1001	1524222	1527593
Gd_00045-a2ab	chr1001	1527632	1537970
Gd_00045-a2ab	chr1001	1538010	1538638
Gd_00045-a2ab	chr1001	1538657	1539835
Gd_00045-a2ab	chr1001	1541785	1545838
Gd_00045-a2ab	chr1001	1546780	1547414
Gd_00045-a2ab	chr1001	1547440	1551094
Gd_00045-a2ab	chr1001	1551127	1551418
Gd_00045-a2ab	chr1001	1568204	1569717
Gd_00045-a2ab	chr1001	1570513	1580347
Gd_00045-a2ab	chr1001	1615384	1616323
Gd_00045-a2ab	chr1001	1624027	1636126
Gd_00045-a2ab	chr1001	1636253	1653151
Gd_00045-a2ab	chr1001	1654240	1654556
Gd_00045-a2ab	chr1001	1654844	1655221
Gd_00045-a2ab	chr1001	1655635	1656235
Gd_00045-a2ab	chr1001	1656274	1656629
Gd_00045-a2ab	chr1001	1656774	1658832
Gd_00045-a2ab	chr1001	1658847	1659289
Gd_00045-a2ab	chr1001	1660231	1661127
Gd_00045-a2ab	chr1001	1842468	1846201
Gd_00045-a2ab	chr1001	1848508	1858526
Gd_00045-a2ab	chr1001	1858660	1858805
Gd_00045-a2ab	chr1001	1858964	1877265
Gd_00045-a2ab	chr1001	1884048	1884277
Gd_00045-a2ab	chr1001	1884887	1886554
Gd_00045-a2ab	chr1001	1886566	1887918
Gd_00045-a2ab	chr1001	2027632	2029528
Gd_00045-a2ab	chr1001	2030507	2031018
Gd_00045-a2ab	chr1001	2032784	2033232
Gd_00045-a2ab	chr1001	2033559	2033782
Gd_00045-a2ab	chr1001	2037388	2040522
Gd_00045-a2ab	chr1001	2041429	2044843
Gd_00045-a2ab	chr1001	2045063	2053227
Gd_00045-a2ab	chr1001	2058574	2072400
Gd_00045-a2ab	chr1001	2074613	2090272
Gd_00045-a2ab	chr1001	2091536	2091802
